model,experiment,subject,accuracy,precision,recall,f1
svm,chest_all,S3,0.703125,1.0,0.20833333333333334,0.3448275862068966
svm,chest_all,S4,0.9682539682539683,1.0,0.9130434782608695,0.9545454545454546
svm,chest_all,S5,0.96875,0.92,1.0,0.9583333333333334
svm,chest_all,S6,0.9846153846153847,1.0,0.9583333333333334,0.9787234042553191
svm,chest_all,S7,0.75,0.5897435897435898,1.0,0.7419354838709677
svm,chest_all,S8,0.9696969696969697,1.0,0.92,0.9583333333333334
svm,chest_all,S9,1.0,1.0,1.0,1.0
svm,chest_all,S10,0.8656716417910447,0.7428571428571429,1.0,0.8524590163934426
svm,chest_all,S11,1.0,1.0,1.0,1.0
svm,chest_all,S13,0.9848484848484849,0.96,1.0,0.9795918367346939
svm,chest_all,S14,0.9375,0.8571428571428571,1.0,0.9230769230769231
svm,chest_all,S15,0.8484848484848485,1.0,0.6,0.75
svm,chest_all,S16,1.0,1.0,1.0,1.0
svm,chest_all,S17,0.9850746268656716,0.9629629629629629,1.0,0.9811320754716981
svm,wrist_all,S2,0.9841269841269841,1.0,0.9565217391304348,0.9777777777777777
svm,wrist_all,S3,0.96875,0.9230769230769231,1.0,0.96
svm,wrist_all,S4,1.0,1.0,1.0,1.0
svm,wrist_all,S5,0.953125,0.8846153846153846,1.0,0.9387755102040817
svm,wrist_all,S6,0.8923076923076924,1.0,0.7083333333333334,0.8292682926829268
svm,wrist_all,S7,0.765625,0.6052631578947368,1.0,0.7540983606557377
svm,wrist_all,S8,0.9696969696969697,1.0,0.92,0.9583333333333334
svm,wrist_all,S9,0.890625,1.0,0.6956521739130435,0.8205128205128205
svm,wrist_all,S10,0.9701492537313433,0.9285714285714286,1.0,0.9629629629629629
svm,wrist_all,S11,1.0,1.0,1.0,1.0
svm,wrist_all,S13,0.8939393939393939,0.7741935483870968,1.0,0.8727272727272727
svm,wrist_all,S14,0.890625,0.9473684210526315,0.75,0.8372093023255814
svm,wrist_all,S15,0.9393939393939394,0.92,0.92,0.92
svm,wrist_all,S16,0.9538461538461539,0.8888888888888888,1.0,0.9411764705882353
svm,wrist_all,S17,0.8656716417910447,0.84,0.8076923076923077,0.8235294117647058
